id,title,price,condition,condition_int
10855,Knit Sweater Korean,40000,enough,3
10934,Preloved Pribadi Kaos Crop 20k An,20000,enough,3
11168,Celana Leging Masih New,25000,new,1
11474,Cream Wanita Real Mnghilang Stexmak Garis2 Dkulit Perut ,12500,new,1
11564,Iwanku Kolekson,30000,new,1
11581,Iwanku Koleksion,30000,new,1
11659,Celana Chinos Pendek,25000,new,1
11798,Baju Atasan Wanita ,30000,new,1
12157,Jilbab Wanita Dewasa,30000,new,1
12189,Daster Salur Busui Ziper,35000,new,1
12441,Parfum GEEAMOREE,10000,new,1
12872,Farpum Eskulin Wangi Bnget,18500,new,1
12935,Atasan lengan panjang cokelat,18000,new,1
12940,Kutek kuku One nail pop 7ml,7000,new,1
13421,Hoodie Wanita Tulisan WHAT,45000,new,1
13477,Baju Black Pink ukuran M,25000,new,1
13691,Ada Yg Mau Ga Nih,20000,new,1
13818,Bingkai Poto (Frame) ,25000,new,1
13940,Gamis Tulip Katun Premium,40000,new,1
14259,Baju Kaos Wanita Dewasa,30000,new,1
14521,Cat Rambut Top Lady/Semir Rambut,11000,new,1
14608,Cek EmmaQueen - Jilbab Anak Instan Rara,32000,new,1
14610,Cek EmmaQueen - Jilbab Instan Anak Marsha,39000,new,1
14660,Belanja Hijab Murah Meriah,20000,new,1
14671,Baju Ootd Untuk Jalan,35000,new,1
14909,Kerudung Anak Kecil Yang Bagus Banget,25000,new,1
15034,Kardigan Newterry,45000,new,1
15178,HIJAB BERGO ANAK DIAMOND CREPE VMAY-024Variasi,25000,new,1
15179,FLIP FLOP&SANDAL WANITA SINTETIS VAEF,35000,new,1
15389,Style Cewek Nih Bikin Cewek Cantik Harga Merakyat,30000,new,1
15440,ATASAN WANITA KAOS SPANDEK BEUS DEUS ,25000,new,1
15441,SWEATER WANITA TIMES UP BABYTER,34000,new,1
15562,Dompet Mini Bekas,20000,enough,3
15840,Hijab Bergo Elya,35000,new,1
15964,Midi Katun Karakter Ld 110cm 1kg Muat 5-6pcs,25000,new,1
16055,Sepatu Wanita Kekinian,5,new,1
16157,Yuuu Monggo Dipinang Gan,25000,new,1
16160,Monggo Mase Bu E Murah Sayang Istrri,35000,new,1
16257,Kerudung Segi 4 All Coler 25.000,25000,new,1
16275,Jilbab Shofya Bahan Jersey Premium,45000,new,1
16277,Jilbab Shofya Anak ,25000,new,1
16293,Celana Cinos Anak UK 6-7thn ...,35000,new,1
16297,Setcel Anak UK 4-5thn Realfix,45000,new,1
16303,Hils Kaca UK 36 Tinggi 5cm,45000,new,1
16305,Hils Kaca UK 40 Tinggi 3cm,45000,new,1
16527,Gelang Palsu Lapis Emas,20000,new,1
16612,Dompet Wanita Kekinian,35000,new,1
16801,di order bju model Bar ,42000,new,1
16978,Yok Promo Nii Sweter Lesperal Terbaru Dngan Harga60rb % Diskon Besr²45,45,new,1
17086,Fashion Wanita Buat SSehari-hari D Rumah,250,new,1
17246,ATASAN WANITA KAOS SPANDEK DALMI POLOS,30000,new,1
17355,Parfum Talkme Kekinian 30 ml,25000,new,1
17469,Dijual Kaos Wanita,30000,new,1
17490,Kerudung Putih Nya Kak,25000,new,1
17526,Jilbab Segiempat,20000,new,1
17592,Tas Murah Bisa Di Bawa Kemana Saja,15000,new,1
17708,Poster A6 Aestetich,5000,new,1
17773,Sepaket Ada Yang Mau,25000,enough,3
17845,Dompet Kosmetik,5000,new,1
17849,Baju Mountop Buat Kondangan,35000,new,1
17875,Leging Impor New 1003 ,35000,new,1
17960,Baju Hitam Keren,40000,new,1
18051,Jeket Anak2 Ukuran TK,10000,new,1
18052,Kantong Anak Buah Wadah Mainan,6000,new,1
18053,Kaus Ukuran Cocok Untuk Anak SD,12000,new,1
18077,Jilbab Kw Deenay,30000,new,1
18202,Hoodie Wanita Over Size,45000,new,1
18258,BRA BH WANITA PREMIUM JAPAN,30000,new,1
18260,T SHIRT ATASAN WANITA CROP TOP POLOS,45000,new,1
18261,BRA BH WANITA STYLE BUNGA,35000,new,1
18262,BRA BH WANITA LATTE 30,35000,new,1
18263,BRA BH WANITA BUSA LEMBUT,35000,new,1
18264,BRA BH WANITA PUSH UP SPORT,35000,new,1
18265,BRA BH WANITA TANPA KAWAT PUSH UP,35000,new,1
18281,Baju Kemeja Wanita,30000,new,1
18316,Tas Wanita Slingbag,30000,new,1
18374,BRA BH WANITA SPORT MODIS 10,40000,new,1
18375,BRA BH WANITA RENDA LEMBUT,35000,new,1
18376,BRA BH WANITA PUSH UP 12,35000,new,1
18377,BRA BH WANITA SEAMLESS PREMIUM 02,30000,new,1
18378,BRA BH WANITA SPORT NYAMAN 05,40000,new,1
18379,BRA BH WANITA SEAMLESS JEPANG 19,30000,new,1
18380,BRA BH WANITA STYLE ELEGHANT 11,30000,new,1
